realDonaldTrump|"""@JIMHENDLEY81: @realDonaldTrump I agree Donald Please run for president. Your alot smarter than Hillary. America needs you. Thanks!"
realDonaldTrump|Washington needs common sense conservative solutions. make America great again!
realDonaldTrump|"""@geomac24: Interesting reports emerging after our No vote that soapy kept from us. Among them, windfarms slashed property value by 12%"""
realDonaldTrump|"""@1JeffHensley: @realDonaldTrump @DuaneMcAnally Donald we need you in 2016. Youre the only one who can turn us around now!! TRUMP 2016"" TRUE"
realDonaldTrump|"""@RoySchuhmacher: @samahDanash I own a fitness business all over the the Bay Area on CA. So @realDonaldTrump has been a HUGE motivator."""
realDonaldTrump|"""@JoSportsGal: @BrandiGlanville Too early first episode. @realDonaldTrump season needs to play out. Then let u know. #WorkHard, #Win"""
realDonaldTrump|Government Funding Bill past last night in the House of Representatives. Now Democrats are needed if it is to pass in the Senate - but they want illegal immigration and weak borders. Shutdown coming? We need more Republican victories in 2018!
realDonaldTrump|Entrepreneurs: It's often to your advantage to be underestimated.
realDonaldTrump|It is so nice that the shackles have been taken off me and I can now fight for America the way I want to.
realDonaldTrump|"""The invisible hand of the market always moves faster and better than the heavy hand of government."" -- @MittRomney"
realDonaldTrump|"""@warrencasselljr: @realDonaldTrump You are a rockstar!"" No, just someone who wants to see things done right, but thanks!"
realDonaldTrump|"""@JOSECZRS: of course @realDonaldTrump would be one of the few to publicly support miley racist behavior."" Oh, & now a racist?"
realDonaldTrump|"""@RustyWynnewood: Great day at Trump National in Charlotte. You took a good club and made it great. Well done sir. """
realDonaldTrump|"The Democrats have zero intention of coming to any deal on the ""fiscal cliff."" They will raise taxes and blame it on the Republicans."
realDonaldTrump|"""@Drake4444444: @realDonaldTrump killing Jeb in the polls! Keep it up!"""
realDonaldTrump|With the signature services of Trump @TrumpWaikiki brings premiere luxury to the white sands of Waikiki
realDonaldTrump|"""@IgnaciusG: @realDonaldTrump @greta You are awesome, sir! Thank you for gifting our marine!"""
realDonaldTrump|"bet Lance Armstrong wishes he do the interview with Oprah-- saying to himself ""what was I thinking?"""
realDonaldTrump|"""@atkins4: @realDonaldTrump you realize that is what Iran wants, dont you?"" You beat Iran in a much different fashion-not through Syria!"
realDonaldTrump|Entrepreneurs: Put everything you've got into what you're doing. Be totally focused--nothing should be haphazard.
realDonaldTrump|@AmberLay2013 Thank you.
realDonaldTrump|@pbanura or Ireland?
realDonaldTrump|"""@kdharris59 I want someone who is liked by half and considered a SOB by the other half - I bet Mr Trump fits that"" Interesting."
realDonaldTrump|"""@BrandonMcKinney: @realDonaldTrump Just wanted to say that I love my Donald J. Trump dress shirts. By far most comfortable and best!"
