iWillSmith|b'Having a blast at the #fqf2016 @ French Quarter Fest '
iWillSmith|b'#sportsdevelopmentsummit #thejackbrewerfoundation @ United Nations Organisation (ONU) - New York\xe2\x80\xa6 '
iWillSmith|b'Bye bye Jamaica, til next time!!!! #kingcrabRoccatcher!!! rockie91 @ Montego Bay, Jamaica Airport '
iWillSmith|b'Pyjkt '
iWillSmith|b'\xe2\x9c\x88\xef\xb8\x8f\xe2\x9c\x88\xef\xb8\x8f\xe2\x9c\x88\xef\xb8\x8fflights back and forth!!!! @ Hartsfield-Jackson Atlanta International Airport '
iWillSmith|b'Wow!!!!! The Irish are down!!!! Both Champs go down #UFC196'
iWillSmith|b'Another great #UFC fight'
iWillSmith|b'By far the best #NBADunkContest I ever saw!!!!!'
iWillSmith|b'What a Great Man!!!! '
iWillSmith|"b""@PFilletti @scottshanle I'll put a good word in for you coach.."""
iWillSmith|b'@scottshanle either way, it was a terrible display of football on both sides!!!'
iWillSmith|b'@scottshanle Well i assume Joey Porter isnt on the medical staff, so why was he on the field???'
iWillSmith|b'@scottshanle i agree'
iWillSmith|b'Smh, I cant believe how this game just ended!!!! Wow!!!! #afcwildcard #SteelersvsBengals'
iWillSmith|b'We took the New Years in style!!!! rockie91 @ The Peninsula Beverly Hills '
iWillSmith|b'I love it!!! '
iWillSmith|b'Happy New Years and may 2016 be an even better year for All!!!!!! rockie91 @ Beverly Hills,\xe2\x80\xa6 '
iWillSmith|b'Just posted a photo '
iWillSmith|b'Another great year with a lot of happy kids, thanks to all the sponsors and the volunteers that\xe2\x80\xa6 '
iWillSmith|b'Shout out to ten99 for hooking me up!!!! '
iWillSmith|b'Congrats Gleason '
iWillSmith|b'One World Tower #nyc @ One World Observatory '
iWillSmith|b'Just posted a photo '
iWillSmith|b'Just posted a photo @ Rockefeller Center '
iWillSmith|b'Happy Thanksgiving to All from the Smiths #happythankgiving #turkeyday2015 #thankfulforeverything @\xe2\x80\xa6 '
iWillSmith|b'Fun times last night!!! '
iWillSmith|b'Congratulations to Richard and Rebecca Hernandez '
iWillSmith|b'Night out with the Wifey rockie91 '
iWillSmith|b'#prayforparis\xf0\x9f\x87\xab\xf0\x9f\x87\xb7 '
iWillSmith|b'Just posted a photo '
iWillSmith|b'Just posted a photo @ Bryant\xe2\x80\x93Denny Stadium '
iWillSmith|"b""Go Buckeyes!!!! lol but I'm hope LSU wins!!!! """
iWillSmith|b'Happy Birthday to my Little bro mrpurpleplanet '
iWillSmith|b'I had a great time last night with the guys thomasmorstead @JonVilma51 @malcolmjenkins @jabarigeer\xe2\x80\xa6 '
iWillSmith|b'Happy Birthday  alnessa!!!!! @jgoody55 rockie91 #surprisbadayparty #southcarolina @ Studio Cellar '
iWillSmith|b'Out and about with the wifey '
iWillSmith|b'Nice drive today #ferrari '
iWillSmith|b'Hanging with the fellas billy430 @gregdumas '
iWillSmith|b'#panama #canal @ Pamana City, Panama '
iWillSmith|b'Come join me and my fellow buckeyes at @slateny on Monday September 7, 7pm. To watch OSU vs. VT on\xe2\x80\xa6 '
iWillSmith|b'Going through my mail and what did I find, My Yeezy Boost 350 Black #yeezyboost '
iWillSmith|b'Happy Birthday my Love!!!!! rockie91 #anguilla '
iWillSmith|b'\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd blessing on blessing, always good to be with the people who truly love you.... rockie91\xe2\x80\xa6 '
iWillSmith|b'rockie91 '
iWillSmith|b'Dinner was great with the WIFEY rockie91 and Da Homies!!!!!\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 nik_kei @deJUANandonly candycakes28\xe2\x80\xa6 '
iWillSmith|"b""Check out how Dick's Sporting Goods is helping Team USA hopefuls pursue their dreams. Let's go! \xc2\xa0\xc2\xa0#GritBeforeGold #sp"""
iWillSmith|b'Watching the Sunset is always nice!!!!!! rockie91 nik_kei @deJUANandonly #tripwithyahomies #birthdaytrip '
iWillSmith|b'Another flight some where nice\xe2\x9c\x88\xef\xb8\x8f\xe2\x9c\x88\xef\xb8\x8f\xe2\x9c\x88\xef\xb8\x8f\xf0\x9f\x8c\xb4\xf0\x9f\x8c\xb4\xf0\x9f\x8c\xb4\xf0\x9f\x8c\xb4 @ Some where in the Clouds '
iWillSmith|b'I think we got this down packed!!!!!! '
iWillSmith|b'My Ohio State Buckeyes Shoes!!!! #gobucks #backtoback '
iWillSmith|b'#NYC #straightouttacompton '
iWillSmith|"b""My Yeezy's Boost finally came in..... """
iWillSmith|b'#JimmyV and his fight against cancer live on with the #VFoundation. Help me support! http://t.co/stSJ2qYs3a  http://t.co/zEgDXGY0sY'
iWillSmith|b'New Favorite track!!! '
iWillSmith|b'The female version of #miketyson @RondaRousey @ufc @#UFC190 #UFCRio'
iWillSmith|b'Wow!!!!!!!!!!! Beast!!!! @RondaRousey'
iWillSmith|"b""Let's Goooooo @ufc @RondaRousey #UFC190 #UFCRio"""
iWillSmith|"b""Excited about @ufc fights tonight, Let's go @RondaRousey #usa #UFC190"""
